frequency_GHz,baseline_real,baseline_imag,baseline_magnitude_dB,baseline_phase_deg,selected_real,selected_imag,selected_magnitude_dB,selected_phase_deg
5.8125,0.9994937802845656,0.031814826299517214,0.0,1.8231629236264393,0.9980698673489475,0.06210104580484838,7.714619732426294e-15,3.560418816394428
5.813750000000001,0.9994922350007829,0.031863335875874574,-4.821637332766436e-15,1.8259437274634314,0.9980255556227068,0.06280915796272427,-3.857309866213149e-15,3.6010700156300346
5.815,0.9994906764159318,0.031912188229942254,0.0,1.8287441853270905,0.997979195263273,0.06354152832338276,5.785964799319721e-15,3.643115736016711
5.81625,0.9994891043511246,0.031961387382057525,-3.857309866213149e-15,1.8315645277821575,0.9979306503656364,0.06429943281879481,3.857309866213148e-15,3.6866294516978177
5.817500000000001,0.9994875186243046,0.03201093741567208,-9.643274665532871e-16,1.834404989013803,0.997879773274348,0.06508423841403377,-4.821637332766436e-15,3.7316898897987287
5.8187500000000005,0.9994859190501694,0.03206084247859532,-3.857309866213149e-15,1.8372658068989767,0.997826403326182,0.06589741136900329,0.0,3.77838150833634
5.82,0.9994843054401057,0.03211110678426733,3.857309866213148e-15,1.8401472230794371,0.9977703654316998,0.06674052641604726,-4.821637332766436e-15,3.8267950272612765
5.82125,0.9994826776021083,0.032161734613061745,3.857309866213148e-15,1.8430494830365234,0.9977114684715815,0.06761527697406323,-4.821637332766436e-15,3.8770280196534923
5.822500000000001,0.9994810353407128,0.03221273031362061,5.785964799319721e-15,1.8459728361677321,0.9976495034793754,0.06852348653823802,1.928654933106574e-15,3.9291855711728627
5.82375,0.9994793784569117,0.032264098304220445,-4.821637332766436e-15,1.8489175358651124,0.9975842415773873,0.06946712140623772,0.0,3.983381017135622
5.825,0.9994777067480823,0.03231584307417167,0.0,1.8518838395955532,0.9975154316264303,0.07044830492734717,0.0,4.0397367680888925
5.82625,0.9994760200078957,0.03236796918525203,3.857309866213148e-15,1.8548720089830497,0.9974427975429456,0.07146933349137637,-3.857309866213149e-15,4.098385236530837
5.827500000000001,0.9994743180262387,0.032420481273174435,-3.857309866213149e-15,1.8578823098929182,0.9973660352283427,0.07253269451010474,-9.643274665532871e-16,4.159469879530296
5.82875,0.9994726005891309,0.032473384049091274,0.0,1.8609150125181106,0.9972848090448243,0.07364108668690618,0.0,4.2231463745137
5.83,0.9994708674786285,0.032526682301134584,3.857309866213148e-15,1.863970391467605,0.9971987477591562,0.07479744292134438,3.857309866213148e-15,4.289583948488491
5.831250000000001,0.999469118472738,0.032580380895995444,0.0,1.8670487258570256,0.9971074398601115,0.07600495625690606,0.0,4.358966884577592
5.8325000000000005,0.9994673533453249,0.03263448478054133,-9.643274665532871e-16,1.8701502994014474,0.9970104281360879,0.07726710935382328,3.857309866213148e-15,4.431496234077412
5.83375,0.9994655718660135,0.03268899898347384,-4.821637332766436e-15,1.8732754005105297,0.9969072033756035,0.07858770805815618,3.857309866213148e-15,4.507391767502911
5.835,0.9994637738000927,0.03274392861702821,-9.643274665532871e-16,1.8764243223860286,0.9967971970240006,0.07997091974647222,3.857309866213148e-15,4.586894204455883
5.836250000000001,0.9994619589084096,0.032799278878714734,-3.857309866213149e-15,1.8795973631217393,0.9966797725930369,0.08142131725717333,3.857309866213148e-15,4.670267769922096
5.8375,0.9994601269472722,0.032855055053104244,-9.643274665532871e-16,1.8827948258059406,0.9965542155742872,0.08294392938073537,-2.892982399659862e-15,4.757803134123786
5.83875,0.9994582776683361,0.03291126251365862,-9.643274665532871e-16,1.8860170186264469,0.9964197215497119,0.08454429907920809,0.0,4.849820804767977
5.840000000000001,0.9994564108184996,0.032967906724607685,-9.643274665532871e-16,1.8892642549783076,0.9962753821199845,0.08622855084992449,-3.857309866213149e-15,4.946675055016575
5.8412500000000005,0.9994545261397875,0.03302499324287363,-4.821637332766436e-15,1.8925368535742448,0.996120168178726,0.0880034689520042,-1.9286549331065743e-15,5.048758488512763
5.8425,0.9994526233692385,0.03308252772004501,1.928654933106574e-15,1.895835138557927,0.995952909942468,0.08987658859307403,-6.7502922658730125e-15,5.156507365304431
5.84375,0.9994507022387793,0.033140515904401015,-4.821637332766436e-15,1.899159439620145,0.9957722729940183,0.09185630264890005,0.0,5.2704078407899475
5.845000000000001,0.9994487624751118,0.03319896364298825,3.857309866213148e-15,1.9025100921179738,0.9955767293996616,0.0939519870884751,0.0,5.391003305578851
5.84625,0.9994468037995744,0.03325787688375074,-9.643274665532871e-16,1.9058874371970298,0.9953645227034567,0.0961741490387096,0.0,5.518903059665781
5.8475,0.9994448259280242,0.03331726167771606,0.0,1.9092918219169053,0.9951336252637742,0.09853460239621016,3.857309866213148e-15,5.654792612604181
5.848750000000001,0.9994428285706938,0.033377124181238,-4.821637332766436e-15,1.9127235993798861,0.994881685949523,0.10104667714594014,5.785964799319721e-15,5.799445976544073
5.8500000000000005,0.9994408114320611,0.033437470658297976,5.785964799319721e-15,1.9161831288630156,0.9946059656155771,0.10372547016960869,3.857309866213148e-15,5.9537404166928845
5.85125,0.9994387742106978,0.03349830748286728,-4.821637332766436e-15,1.9196707759536769,0.9943032569714368,0.10658814744610039,-4.821637332766436e-15,6.118674251706868
5.8525,0.9994367165991372,0.03355964114133227,-3.857309866213149e-15,1.923186912688751,0.99396978436201,0.10965431033633927,-4.821637332766436e-15,6.295388465495073
5.853750000000001,0.9994346382837123,0.03362147823498271,0.0,1.9267319176974418,0.9936010774755495,0.11294644234958442,3.857309866213148e-15,6.4851931170738695
5.855,0.9994325389444053,0.033683825482567854,1.928654933106574e-15,1.9303061763479652,0.9931918109070076,0.11649045775195446,3.857309866213148e-15,6.689599837979723
5.85625,0.99943041825469,0.033746689722920456,-9.643274665532871e-16,1.9339100808981402,0.992735598576603,0.12031638009329769,3.857309866213148e-15,6.910362118274247
5.8575,0.9994282758813674,0.03381007791765139,1.928654933106574e-15,1.9375440306500387,0.992224727844027,0.12445918790851228,0.0,7.149525647473374
5.858750000000001,0.9994261114843945,0.03387399715391712,3.857309866213148e-15,1.9412084321088194,0.9916498121744346,0.12895987753719612,0.0,7.409491762292205
